name,category,smiles,num_atoms,num_bonds,molecular_weight,radius_of_gyration,asphericity,eccentricity,inertia_shape_factor,span_r,pmi1,pmi2,conformer_energy,vdw_energy,electrostatic_energy,torsion_strain,angle_strain,optimization_delta,dipole_moment,total_charge,max_partial_charge,min_partial_charge,charge_span,electrostatic_potential,sasa,molecular_volume,globularity,surface_to_volume_ratio,num_atoms_with_h,num_heavy_atoms
threonine,amino_acid,CC(C(C(=O)O)N)O,17,16,119.12,2.131,9.807,0.245,0.755,5.207,43.781,52.601,-170.0,-8.0,-1.7,0.0,0.85,17.0,0.0,0.086,0.094,-0.03,0.124,0.0,510.0,255.0,0.381,2.0,17,8
methane,organic,C,5,4,16.04,0.992,0.002,0.001,0.999,1.812,3.281,3.282,-50.0,-2.0,-0.5,0.0,0.25,5.0,0.0,-0.115,0.005,-0.03,0.035,0.0,150.0,75.0,0.573,2.0,5,1
ethanol,organic,CCO,9,8,46.07,1.514,5.195,0.466,0.534,3.661,9.188,14.863,-90.0,-4.0,-0.9,0.0,0.45,9.0,0.0,-0.076,0.094,-0.03,0.124,0.0,270.0,135.0,0.471,2.0,9,3
methanol,organic,CO,6,5,32.04,1.197,1.818,0.504,0.496,2.856,3.445,6.8,-60.0,-2.5,-0.6,0.0,0.3,6.0,0.0,-0.021,0.094,-0.03,0.124,0.0,180.0,90.0,0.54,2.0,6,2
benzene,organic,c1ccccc1,12,12,78.11,2.015,24.35,0.5,0.5,4.964,24.348,24.352,-120.0,-6.0,-1.2,0.1,0.6,12.0,0.0,-0.15,0.005,-0.03,0.035,0.0,360.0,180.0,0.428,2.0,12,6
toluene,organic,Cc1ccccc1,15,15,92.14,2.305,37.392,0.646,0.354,5.883,27.656,53.689,-150.0,-7.5,-1.5,0.1,0.75,15.0,0.0,-0.205,0.005,-0.03,0.035,0.0,450.0,225.0,0.398,2.0,15,7
phenol,organic,c1ccc(cc1)O,13,13,94.11,2.168,30.554,0.599,0.401,5.875,24.478,36.63,-130.0,-6.5,-1.3,0.1,0.65,13.0,0.0,-0.056,0.094,-0.03,0.124,0.0,390.0,195.0,0.417,2.0,13,7
acetic_acid,organic,CC(=O)O,8,7,60.05,1.644,8.343,0.684,0.316,4.182,6.316,16.935,-80.0,-3.5,-0.8,0.0,0.4,8.0,0.0,0.078,0.094,-0.03,0.124,0.0,240.0,120.0,0.49,2.0,8,4
acetone,organic,CC(=O)C,10,9,58.08,1.74,10.216,0.626,0.374,4.166,10.104,23.431,-100.0,-4.5,-1.0,0.0,0.5,10.0,0.0,-0.071,0.094,-0.03,0.124,0.0,300.0,150.0,0.455,2.0,10,4
formaldehyde,organic,C=O,4,3,30.03,0.979,1.917,0.54,0.46,1.996,1.763,2.07,-40.0,-1.5,-0.4,0.0,0.2,4.0,0.0,0.039,0.094,-0.03,0.124,0.0,120.0,60.0,0.618,2.0,4,2
urea,organic,C(=O)(N)N,8,7,60.06,1.664,11.072,0.694,0.306,4.288,6.771,15.372,-80.0,-3.5,-0.8,0.0,0.4,8.0,0.0,0.087,0.094,-0.03,0.124,0.0,240.0,120.0,0.49,2.0,8,4
ethylene_glycol,organic,C(CO)O,10,9,62.07,1.67,7.29,0.536,0.464,4.079,10.897,21.445,-100.0,-4.5,-1.0,0.0,0.5,10.0,0.0,0.018,0.094,-0.03,0.124,0.0,300.0,150.0,0.455,2.0,10,4
glycerol,organic,C(C(CO)O)O,14,13,92.09,2.009,17.969,0.531,0.469,5.292,23.311,40.084,-140.0,-6.5,-1.4,0.0,0.7,14.0,0.0,0.057,0.094,-0.03,0.124,0.0,420.0,210.0,0.407,2.0,14,6
glucose,sugar,C(C1C(C(C(C(O1)O)O)O)O)O,24,24,180.16,2.533,42.397,0.505,0.495,7.647,64.783,112.239,-240.0,-12.0,-2.4,0.1,1.2,24.0,0.008,0.234,0.094,-0.03,0.124,0.001,720.0,360.0,0.34,2.0,24,12
ascorbic_acid,vitamin,C(C(C1C(=C(C(=O)O1)O)O)O)O,20,20,176.12,2.533,33.21,0.514,0.486,7.009,52.326,96.635,-200.0,-10.0,-2.0,0.1,1.0,20.0,0.003,0.354,0.094,-0.03,0.124,0.0,600.0,300.0,0.361,2.0,20,12
niacin,vitamin,O=C(O)c1cccnc1,14,14,123.11,2.41,40.665,0.719,0.281,7.172,22.883,58.446,-140.0,-7.0,-1.4,0.1,0.7,14.0,0.0,0.122,0.094,-0.03,0.124,0.0,420.0,210.0,0.407,2.0,14,9
pyridoxine,vitamin,Cc1ncc(c(c1O)CO)CO,23,23,169.18,2.865,79.36,0.586,0.414,7.324,74.07,124.715,-230.0,-11.5,-2.3,0.1,1.15,23.0,0.0,0.046,0.094,-0.03,0.124,0.0,690.0,345.0,0.345,2.0,23,12
dopamine,neurotransmitter,c1cc(c(cc1CCN)O)O,22,22,153.18,2.98,85.001,0.757,0.243,8.792,45.333,158.421,-220.0,-11.0,-2.2,0.1,1.1,22.0,0.003,-0.048,0.094,-0.03,0.124,0.0,660.0,330.0,0.35,2.0,22,11
serotonin,neurotransmitter,c1cc2c(cc1O)c(c[nH]2)CCN,25,26,176.22,3.06,94.188,0.647,0.353,8.58,77.247,172.007,-250.0,-13.0,-2.5,0.2,1.25,25.0,0.009,-0.108,0.094,-0.03,0.124,0.001,750.0,375.0,0.335,2.0,25,13
histamine,neurotransmitter,c1c(nc[nH]1)CCN,17,17,111.15,2.427,31.944,0.649,0.351,6.412,30.883,81.341,-170.0,-8.5,-1.7,0.1,0.85,17.0,0.0,-0.083,0.054,-0.03,0.084,0.0,510.0,255.0,0.381,2.0,17,8
gaba,neurotransmitter,C(CC(=O)O)CN,16,15,103.12,2.356,31.153,0.738,0.262,7.297,20.925,76.732,-160.0,-7.5,-1.6,0.0,0.8,16.0,0.001,-0.008,0.094,-0.03,0.124,0.0,480.0,240.0,0.389,2.0,16,7
adrenaline,neurotransmitter,CNCC(c1ccc(c(c1)O)O)O,26,26,183.21,3.058,84.099,0.622,0.378,8.67,82.505,185.561,-260.0,-13.0,-2.6,0.1,1.3,26.0,0.002,-0.009,0.094,-0.03,0.124,0.0,780.0,390.0,0.331,2.0,26,13
